,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,visual perception (GO:0007601),15/93,1.3914673760521158e-10,3.228204312440909e-07,0,0,10.714442252903792,243.1695392216485,SLC24A1;RAX;SLC4A10;PAX6;CABP1;TRPM1;RS1;SIX6;GNAT2;GRM6;RBP3;SIX3;REEP6;GPR179;IMPG2
1,GO_Biological_Process_2021,sensory perception of light stimulus (GO:0050953),13/95,1.8829316363506645e-08,2.1842006981667708e-05,0,0,8.781040558280937,156.19583932511412,SLC24A1;RAX;SLC4A10;PAX6;CABP1;TRPM1;RS1;SIX6;GNAT2;RBP3;SIX3;GPR179;IMPG2
2,GO_Biological_Process_2021,synapse organization (GO:0050808),14/126,7.970545772115124e-08,6.163888730435695e-05,0,0,6.932528409090909,113.31167614602109,APP;GPM6A;PTPRS;NRXN1;NRXN2;ANK3;SLC6A1;PTPRD;CDH2;SPOCK2;DNER;NRCAM;MAPT;PAK3
3,GO_Biological_Process_2021,nervous system development (GO:0007399),26/447,2.40540065985056e-07,0.00012513037653913133,0,0,3.489856084951795,53.18672997203226,ROBO2;GPM6A;NRSN1;MYT1L;NRXN1;STMN3;NRXN2;NHLH2;CDH2;SPOCK2;DNER;DPF3;NRCAM;PCDHA2;MARCKSL1;JAG1;TMOD2;LSAMP;PAX6;NAV1;PROX1;VEGFA;MARCKS;ZEB2;TAGLN3;HAP1
4,GO_Biological_Process_2021,neuron migration (GO:0001764),9/50,2.696775356446796e-07,0.00012513037653913133,0,0,12.047345767575322,182.2286207719056,GPM6A;TUBB2A;AUTS2;DNER;NRCAM;NAV1;NDNF;VEGFA;CDK5R1
5,GO_Biological_Process_2021,synapse assembly (GO:0007416),10/69,4.853585761432276e-07,0.00018767198277538135,0,0,9.319653399352504,135.49264289496404,GABRB3;GPM6A;GABRA1;CDH2;NRXN1;SPOCK2;DNER;NRXN2;NRCAM;GABRG2
6,GO_Biological_Process_2021,generation of neurons (GO:0048699),16/202,1.0402650440516388e-06,0.0003447735574571146,0,0,4.779846390168971,65.84733129574708,GPM6A;TGFB2;AUTS2;MYT1L;NAV1;NDNF;PTPRD;TUBB2A;NEUROD4;DNER;SIX3;NRCAM;MAPT;LHX4;ITM2C;CDK5R1
7,GO_Biological_Process_2021,regulation of neuron differentiation (GO:0045664),10/79,1.7486239670197434e-06,0.0005071009504357256,0,0,7.964907995440482,105.5882475475411,IMPACT;PCP4;CASZ1;ZFHX3;SIX3;NRCAM;TCF4;YWHAG;YWHAH;CDK5R1
8,GO_Biological_Process_2021,regulation of neuron projection development (GO:0010975),14/165,2.192656852791338e-06,0.0005113943330925099,0,0,5.1317354003612285,66.8685473828627,NDRG4;PLK5;PTPRS;STMN2;NDNF;CAMSAP2;CCDC88A;RIT2;CDH2;CHN1;APOE;PAK3;ITM2C;CDK5R1
9,GO_Biological_Process_2021,neuron development (GO:0048666),13/143,2.345095326389928e-06,0.0005113943330925099,0,0,5.525212464589235,71.62434861320914,EPHA5;APP;GPM6A;CNTNAP2;TGFB2;MYT1L;STMN2;DTNBP1;STMN3;STMN1;APOE;MAPT;CDK5R1
