Gene,P_adj,Fold_Change,Log2_Fold_Change
NRL,1.018352201548431e-141,6.692994,2.7426517
NR2E3,1.175726776032239e-140,6.4916387,2.6985826
RS1,3.568129631225934e-138,6.368572,2.67097
CNGA1,2.65562451072813e-137,6.156698,2.6221569
SLC24A1,3.3615687453328675e-131,6.160705,2.6230955
PROM1,6.795193770781036e-110,5.7581153,2.5255966
REEP6,1.4716473267023811e-99,5.8154836,2.539899
SAMD11,1.572957712711954e-95,5.0977116,2.3498497
GUCA1B,1.6049640372591767e-92,4.9397154,2.3044279
NXNL1,8.236271830377512e-92,5.1430345,2.3626199
CASZ1,9.538120179888481e-88,6.0175023,2.5891647
FAM161A,3.761666403972227e-87,3.783599,1.9197592
RTBDN,1.0672708568530044e-83,5.0260015,2.329411
RGS9,2.9720089416549522e-83,5.178364,2.3724964
DRD4,1.658137929530714e-79,4.6058307,2.2034614
RBP3,1.0441955065385857e-78,4.7247124,2.2402265
EBPL,6.718654836998523e-77,3.815913,1.9320283
PLEKHB1,7.880047933907895e-77,4.1212635,2.0430868
IMPG2,7.49293985300825e-76,5.8790383,2.5555801
A930011O12RIK,1.2555674462096106e-75,2.843821,1.5078307
AI847159,1.3500348415977682e-75,4.675347,2.2250733
NXNL2,1.5558253829877884e-74,5.4965434,2.4585247
GRK1,4.2879431251677725e-72,5.077549,2.3441322
CDHR1,1.69321207134562e-68,4.2723784,2.0950394
MDM1,2.2639288459426995e-64,4.5546637,2.1873446
A930003A15RIK,2.474086362754339e-63,3.8667338,1.9511155
VTN,4.467284487736524e-59,4.716724,2.237785
WDR17,6.336708001142275e-59,4.766858,2.2530386
FABP12,2.497620356234778e-56,5.245253,2.3910124
NDRG1,4.44970384749465e-56,3.4749022,1.7969724
PFKFB2,1.1826760219209428e-55,3.7670345,1.9134293
SUSD3,1.5840190150146019e-52,4.211532,2.074345
SLC4A7,1.0956401074886751e-51,3.456652,1.7893753
SAMD7,1.7506352344912826e-49,4.9098215,2.2956705
MARCH1,3.98526381854609e-49,4.776849,2.2560592
MAK,1.4575600760091462e-48,3.7943814,1.9238647
ABCA4,8.164428950855438e-48,3.9637554,1.9868679
GUCY2E,1.960803381549474e-45,3.756742,1.909482
IMPG1,2.0023044979062674e-44,4.7173753,2.2379844
GM21743,8.482454887235122e-44,4.408363,2.140243
PITPNM3,2.3018416582588723e-42,4.3468256,2.1199622
