,source,target,weight
1,CEP290,CEP290,1
2,MDM1,CEP290,0.554577976430518
3,EPB4.1L2,CEP290,0.557977324448727
4,AGPAT3,CEP290,0.566603322850077
5,REEP6,CEP290,0.514171253200022
6,DDX5,CEP290,0.556148862889371
7,RGS9,CEP290,0.550429575098186
8,GM11744,CEP290,0.523465180456338
9,PDE6G,CEP290,0.534083021403861
10,FAM161A,CEP290,0.614748342649705
11,CNOT6,CEP290,0.528016319497622
12,RCVRN,CEP290,0.565011793816441
13,GUCY2E,CEP290,0.507377514738766
14,ATP1B2,CEP290,0.513222912899304
15,AIPL1,CEP290,0.556631915411362
16,UNC119,CEP290,0.575778952459583
17,HSP90AA1,CEP290,0.561685603913191
18,RDH12,CEP290,0.552811307207435
19,MAK,CEP290,0.531456583356449
20,SLC4A7,CEP290,0.559012773420832
21,RBP3,CEP290,0.500842502422537
22,CDHR1,CEP290,0.565765060499965
23,KTN1,CEP290,0.519666805830664
24,RPGRIP1,CEP290,0.677790017693489
25,NRL,CEP290,0.583791906111067
26,EBPL,CEP290,0.537767782753971
27,A930011O12RIK,CEP290,0.614102627654637
28,PCBP2,CEP290,0.510828802347597
29,ANKRD33B,CEP290,0.509266936441805
30,TOB2,CEP290,0.522967080156866
31,A930003A15RIK,CEP290,0.515122664978863
32,IMPG2,CEP290,0.557893576203367
33,HMGN1,CEP290,0.624804467869713
34,TULP1,CEP290,0.640499304081998
35,BC033916,CEP290,0.51591014420123
36,PRPH2,CEP290,0.613225241686176
37,GUCA1B,CEP290,0.534644231519795
38,ANKRD12,CEP290,0.539226529903913
39,PDE6A,CEP290,0.58926786436978
40,CPLX4,CEP290,0.588174123760182
41,STX3,CEP290,0.581496739205415
42,CABP4,CEP290,0.504020416277888
43,1810009A15RIK,CEP290,0.544107080519122
44,ROM1,CEP290,0.594605316022551
45,PFKFB2,CEP290,0.582607268297204
46,ADIPOR1,CEP290,0.50670448361462
47,PDC,CEP290,0.618583087707143
48,NDUFS2,CEP290,0.505040488324926
49,RP1,CEP290,0.66090848890861
50,MPP4,CEP290,0.621921191305589
51,SAG,CEP290,0.625099692884479
52,STARD7,CEP290,0.516131814654506
53,AI847159,CEP290,0.505626963067546
54,KCNB1,CEP290,0.515492138453715
55,PCMTD2,CEP290,0.576601991857308
56,BAZ2B,CEP290,0.510724248751262
57,NEUROD1,CEP290,0.608286241735075
58,FABP12,CEP290,0.516867618966385
59,ABCA4,CEP290,0.513006691466429
60,SAMD7,CEP290,0.518502038346447
61,PEX5L,CEP290,0.572673280908475
62,BBS7,CEP290,0.506395884636497
63,ANP32E,CEP290,0.579838036932791
64,OTUD7B,CEP290,0.522856186281761
65,EPB4.1,CEP290,0.605159029470099
66,D4WSU53E,CEP290,0.582132009874459
67,CASZ1,CEP290,0.547673186822362
68,KIF1B,CEP290,0.540542675653179
69,GNB1,CEP290,0.599916469371139
70,SSU72,CEP290,0.521996698479678
71,SAMD11,CEP290,0.607686611171764
72,GLMN,CEP290,0.515008828713903
73,PDE6B,CEP290,0.612461907207081
74,TRAFD1,CEP290,0.515782703714965
75,RABGEF1,CEP290,0.517951386399252
76,LYAR,CEP290,0.551919137163053
77,PROM1,CEP290,0.574967979226124
78,CNGA1,CEP290,0.611660514717799
79,RHO,CEP290,0.570509831756446
80,YBX3,CEP290,0.599630866268253
81,IMPDH1,CEP290,0.530474008486674
82,GNGT1,CEP290,0.562738753763735
83,CCDC126,CEP290,0.516964476653667
84,TAX1BP1,CEP290,0.525532540776615
85,PLEKHB1,CEP290,0.529344429281035
86,FAM57B,CEP290,0.601536117889295
87,DRD4,CEP290,0.517471453930737
88,CRX,CEP290,0.619466723228039
89,RGS9BP,CEP290,0.50806177040132
90,GRK1,CEP290,0.560356794532625
91,WDR17,CEP290,0.514637174881404
92,NXNL1,CEP290,0.567234119436025
93,RTBDN,CEP290,0.521356327711213
94,CNGB1,CEP290,0.608417060730532
