"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","87/1935","331/18860",0.262839879154079,2.56183985573433,9.69303952482052,6.35189687963961e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0043062","GO:0043062","extracellular structure organization","87/1935","332/18860",0.262048192771084,2.55412347062669,9.65996974842692,7.76305630315874e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0045229","GO:0045229","external encapsulating structure organization","87/1935","333/18860",0.261261261261261,2.54645343017436,9.62702031935346,9.47759211649745e-17,1.81811808768143e-13,1.45821899757338e-13,"COL11A1/MMP1/FAP/MMP3/PDPN/SULF1/ADAMTS12/COL1A1/ZNF469/MMP11/COL5A2/EGFL6/ADAMTS6/TGFBI/COL1A2/MMP14/COMP/COL12A1/IBSP/SH3PXD2B/PRSS2/COL3A1/MMP13/RUNX1/LOXL2/P4HA3/MATN3/MMP10/COL5A1/ADAMTS2/CARMIL2/IL6/SERPINH1/MMP7/ITGA2/KLK7/ADAMTS9/COL4A1/NID2/SOX9/ADAMTS4/MMP8/FSCN1/LOX/SERPINB5/MMP12/BMP2/ANTXR1/HPSE2/C6orf15/AGT/FKBP10/CTSK/ITGA8/PXDN/MMP2/POSTN/WT1/LAMA1/COL5A3/MMP9/LUM/OLFML2B/AEBP1/COL19A1/GAS2/FERMT1/CTSV/TMPRSS6/ABI3BP/COL4A2/AXIN2/COL4A3/HPN/MMP20/SMOC2/ADTRP/COL27A1/ADAMTS16/COL4A6/MELTF/VIT/FOXF2/MMP16/MMP28/TGFB2/FOXC2",87
"GO:0061448","GO:0061448","connective tissue development","78/1935","307/18860",0.254071661237785,2.47637805216777,8.81850919449566,1.92960800243336e-14,2.776223513501e-11,2.22666607649218e-11,"COL11A1/SULF1/ADAMTS12/COL1A1/TGFBI/STC1/PTH1R/COMP/PRRX1/SH3PXD2B/WNT5A/COL3A1/MMP13/ACAT1/CCN4/RUNX1/LOXL2/MATN3/MSX2/COL5A1/CHRDL2/SNAI1/IL6R/SERPINH1/PDGFRB/BGN/PRKG2/CD44/SOX9/ITGB8/WNT7B/SLC26A2/FGF18/GPR4/LOX/SERPINB7/SCIN/HOXD3/BMP2/BMP5/CTSK/HES5/EPYC/WT1/PDGFB/BMP7/PPARGC1A/PDGFD/LUM/GDF7/TIMP1/HMGCS2/GUCA2B/PLAAT3/RSPO2/WNT11/BMP6/AXIN2/DGAT2/HAND1/EBF2/NR1H4/GHR/BMP3/CNMD/COL27A1/TRPV4/UMODL1/FOXD1/GPLD1/TGFB2/NKX3-2/GDF5/ZBTB16/FAM83A/FOXC2/LEP/IL17F",78
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","69/1935","279/18860",0.247311827956989,2.41049151176683,8.02552613165914,2.45258792728781e-12,2.82292870430827e-09,2.26412590761201e-09,"CELSR3/CDH11/ROBO2/DSG3/CDH3/DSG4/PCDH17/FGFRL1/CDH23/SELE/AJUBA/UNC5D/PCDHGA1/PTK7/CDH6/PCDHB9/CLDN23/ITGAL/PCDHB14/SLITRK3/BMP2/CELSR1/KLF4/DSC3/PCDH11X/PCDH11Y/PCDH19/CLDN16/CRTAM/MPZ/FXYD5/DSG1/TENM4/CLDN1/CNTN4/NECTIN4/PCDHGB4/CLDN18/REG3A/SCARF2/CLDN2/SELP/IL1RN/ADIPOQ/CDH8/PCDHB10/MYPN/PCDHB16/ELFN1/PCDH9/PCDHA3/CDHR2/CEACAM1/ADGRL3/CLDN14/CDH16/CDHR5/PCDHA1/CDH22/PCDHGB5/PCDHB8/CDH19/CLDN19/CLDN6/TGFB2/PCDHA13/CNTN2/DCHS2/ITGA5",69
"GO:0002443","GO:0002443","leukocyte mediated immunity","101/1935","488/18860",0.206967213114754,2.01726182911848,7.69839015837186,3.61078075776546e-12,3.46334054349004e-09,2.77776730224589e-09,"TREM1/ANXA3/CFI/IL1B/ULBP1/STAP1/IL6/RAET1L/IL6R/TNFSF4/APLF/IL23A/FCGR3B/DAO/PLCG2/CD27/CXCL6/DNASE1L3/KLRB1/DDX21/ULBP2/AZGP1/FCAR/CD96/SPON2/SLAMF7/FCGR3A/CD160/ULBP3/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/CD8A/IGLC2/ZP3/KIR2DL4/IGLC3/CRTAM/IGHV3-49/IGKC/CD7/EXO1/IGHV3-64/GZMM/IGHV3-7/CCR2/KIT/TBX21/IGHV1-18/NECTIN4/KLRC1/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/GZMB/IGHV1-45/IGLC7/IGHG3/IL2/SECTM1/KLRC4/RAET1G/KLRC3/CEACAM1/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/KLRC2/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/PTGDR/C4BPB/SH2D1B/AICDA/IGHG4/CLC/SCNN1B/IGHV2-26/RAET1E/IGHV4-28/GRP/MRGPRX2/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39/LEP",101
"GO:0042445","GO:0042445","hormone metabolic process","63/1935","246/18860",0.25609756097561,2.49612403100775,7.98639477046206,4.33101096278944e-12,3.56070972726475e-09,2.85586211606492e-09,"INHBA/SULT1A1/ANPEP/CORIN/TG/KLK6/UGT1A1/CYP3A4/SPP1/DHRS11/CRHBP/ALDH1A3/STC2/BACE2/DIO2/BMP2/BMP5/CTSK/CEL/DHRS2/HSD3B2/PAPSS2/PCSK5/AKR1C2/AKR1B10/HSD17B2/RETSAT/SHH/MBOAT4/AFP/RDH5/UGT1A8/BMP6/ADH6/SULT1B1/DGAT2/HPN/ESR1/MEP1A/ADH1B/GHR/CYP3A7/DUOXA2/MME/CRABP2/PCSK2/GCNT4/CYP19A1/HSD17B3/AKR1C4/BCHE/ADH1A/SCNN1B/DUOX2/FFAR3/UGT1A7/ADH1C/UGT1A9/RBP1/GAL/CYP2W1/LEP/SLC30A8",63
"GO:0019730","GO:0019730","antimicrobial humoral response","52/1935","184/18860",0.282608695652174,2.75452196382429,8.0865125406201,5.93087244779489e-12,4.26652136713245e-09,3.42195732678692e-09,"SLC11A1/CXCL8/PRSS2/KRT6A/MMP7/REG1B/CXCL1/KLK7/CXCL5/CXCL3/CCL5/CXCL6/S100A9/CXCL12/CCL23/REG1A/SPON2/IL17A/TSLP/IGHA2/IGHG1/JCHAIN/CXCL11/XCL2/CXCL2/NPY/LGALS4/DEFA6/PPBP/CCL24/IGHA1/REG3A/IGHG3/CXCL13/IGKV3-20/DMBT1/PF4/KNG1/H2BC6/CCL20/H2BC7/WFDC3/CCL7/IGHG4/DEFB1/CCL3L1/CCL3L3/IGHM/IGHD/IL17F/PGC/REG3G",52
"GO:0002449","GO:0002449","lymphocyte mediated immunity","85/1935","388/18860",0.219072164948454,2.13524601081542,7.63984176407952,8.71766884955341e-12,5.57446491435332e-09,4.47099156787037e-09,"CFI/IL1B/ULBP1/IL6/RAET1L/TNFSF4/APLF/IL23A/FCGR3B/CD27/KLRB1/ULBP2/AZGP1/CD96/SLAMF7/FCGR3A/CD160/ULBP3/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/CD8A/IGLC2/ZP3/KIR2DL4/IGLC3/CRTAM/IGHV3-49/IGKC/CD7/EXO1/IGHV3-64/GZMM/IGHV3-7/CCR2/TBX21/IGHV1-18/NECTIN4/KLRC1/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/GZMB/IGHV1-45/IGLC7/IGHG3/IL2/SECTM1/KLRC4/RAET1G/KLRC3/CEACAM1/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/KLRC2/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/SH2D1B/AICDA/IGHG4/CLC/IGHV2-26/RAET1E/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39/LEP",85
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","54/1935","203/18860",0.266009852216749,2.59273685416428,7.71447931179103,3.06575835559323e-11,1.7643439336439e-08,1.41508951466066e-08,"CFI/TNFSF4/APLF/FCGR3B/CD27/FCGR3A/FCGR1A/CR2/FOXP3/CD19/IGHA2/CD55/IGHG1/FCMR/IGLC2/ZP3/IGLC3/IGHV3-49/IGKC/EXO1/IGHV3-64/IGHV3-7/TBX21/IGHV1-18/FCER2/IGHA1/IGHV3-74/IGHV2-5/IGLL5/IGHV3-23/IGHV1-45/IGLC7/IGHG3/IL2/IGHV3-13/IGHV4-61/IGHV1-69/IGHV3-43/IGHV4-59/IGLC6/IGHV4-34/IGHV1-58/IGHV3-66/C4BPB/AICDA/IGHG4/IGHV2-26/IGHV4-28/IGHV5-51/IGHD/IGHV4-4/IGHV3-73/IGHV3-20/IGHV4-39",54
