"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042254","ribosome biogenesis","209/6905","358/21338",0.583798882681564,1.80406959575079,10.6121315786825,1.84636377073496e-24,1.2274626347846e-20,9.95481603547836e-21,"ENSG00000112578/ENSG00000114767/ENSG00000115946/ENSG00000142207/ENSG00000163811/ENSG00000122034/ENSG00000075914/ENSG00000120699/ENSG00000101782/ENSG00000198498/ENSG00000171858/ENSG00000181163/ENSG00000160214/ENSG00000135372/ENSG00000115761/ENSG00000138442/ENSG00000132341/ENSG00000141076/ENSG00000156697/ENSG00000227057/ENSG00000171103/ENSG00000136942/ENSG00000124784/ENSG00000141101/ENSG00000115368/ENSG00000146223/ENSG00000111641/ENSG00000125485/ENSG00000158417/ENSG00000165732/ENSG00000179041/ENSG00000173113/ENSG00000130826/ENSG00000055044/ENSG00000086189/ENSG00000261236/ENSG00000113460/ENSG00000164934/ENSG00000107937/ENSG00000111845/ENSG00000088205/ENSG00000150990/ENSG00000130713/ENSG00000083520/ENSG00000160208/ENSG00000136271/ENSG00000135763/ENSG00000077348/ENSG00000178105/ENSG00000124787/ENSG00000165792/ENSG00000171863/ENSG00000011260/ENSG00000029639/ENSG00000148843/ENSG00000107371/ENSG00000101361/ENSG00000145220/ENSG00000145912/ENSG00000138382/ENSG00000170515/ENSG00000148303/ENSG00000073536/ENSG00000048162/ENSG00000119285/ENSG00000198000/ENSG00000166197/ENSG00000122687/ENSG00000117395/ENSG00000124228/ENSG00000148300/ENSG00000134697/ENSG00000139842/ENSG00000133316/ENSG00000197498/ENSG00000169251/ENSG00000156469/ENSG00000253729/ENSG00000079246/ENSG00000176731/ENSG00000164338/ENSG00000053372/ENSG00000107833/ENSG00000124541/ENSG00000183520/ENSG00000275700/ENSG00000087269/ENSG00000165271/ENSG00000132603/ENSG00000165526/ENSG00000088930/ENSG00000131469/ENSG00000116922/ENSG00000147604/ENSG00000114166/ENSG00000198042/ENSG00000143319/ENSG00000198301/ENSG00000188976/ENSG00000182899/ENSG00000172809/ENSG00000225921/ENSG00000148296/ENSG00000126749/ENSG00000188846/ENSG00000117174/ENSG00000101181/ENSG00000065183/ENSG00000147889/ENSG00000071462/ENSG00000156928/ENSG00000198917/ENSG00000100029/ENSG00000120800/ENSG00000105372/ENSG00000135828/ENSG00000124383/ENSG00000104626/ENSG00000055483/ENSG00000165733/ENSG00000001497/ENSG00000101945/ENSG00000198585/ENSG00000132275/ENSG00000041802/ENSG00000135521/ENSG00000136045/ENSG00000278053/ENSG00000155393/ENSG00000146909/ENSG00000142684/ENSG00000117597/ENSG00000105447/ENSG00000111364/ENSG00000108651/ENSG00000151304/ENSG00000105202/ENSG00000130305/ENSG00000109534/ENSG00000115268/ENSG00000136718/ENSG00000037241/ENSG00000173674/ENSG00000130119/ENSG00000110700/ENSG00000067533/ENSG00000082898/ENSG00000184967/ENSG00000147679/ENSG00000112306/ENSG00000067334/ENSG00000273611/ENSG00000104884/ENSG00000143947/ENSG00000172336/ENSG00000167721/ENSG00000130935/ENSG00000242372/ENSG00000198034/ENSG00000178896/ENSG00000187531/ENSG00000141543/ENSG00000105793/ENSG00000137876/ENSG00000117481/ENSG00000146109/ENSG00000118246/ENSG00000084463/ENSG00000007376/ENSG00000171316/ENSG00000100201/ENSG00000123064/ENSG00000134987/ENSG00000134419/ENSG00000145414/ENSG00000114391/ENSG00000065268/ENSG00000122085/ENSG00000129347/ENSG00000158290/ENSG00000162851/ENSG00000150773/ENSG00000113360/ENSG00000170854/ENSG00000130810/ENSG00000137154/ENSG00000145375/ENSG00000144895/ENSG00000272047/ENSG00000132153/ENSG00000083845/ENSG00000089048/ENSG00000148688/ENSG00000160256/ENSG00000132382/ENSG00000102309/ENSG00000140598/ENSG00000123737/ENSG00000135698/ENSG00000186468/ENSG00000179409/ENSG00000168028/ENSG00000183751/ENSG00000120158/ENSG00000119616/ENSG00000100138/ENSG00000089157/ENSG00000105193/ENSG00000139637",209
"BP","GO:0016072","rRNA metabolic process","176/6905","299/21338",0.588628762541806,1.81899500870631,9.86448726796684,2.41338525802679e-21,8.02209259768103e-18,6.50597857453326e-18,"ENSG00000068654/ENSG00000112578/ENSG00000114767/ENSG00000142207/ENSG00000163811/ENSG00000122034/ENSG00000070814/ENSG00000075914/ENSG00000117877/ENSG00000120699/ENSG00000101782/ENSG00000171858/ENSG00000136997/ENSG00000105849/ENSG00000160214/ENSG00000135372/ENSG00000115761/ENSG00000138442/ENSG00000186184/ENSG00000141076/ENSG00000156697/ENSG00000227057/ENSG00000171103/ENSG00000136942/ENSG00000124784/ENSG00000141101/ENSG00000115368/ENSG00000146223/ENSG00000111641/ENSG00000165732/ENSG00000179041/ENSG00000173113/ENSG00000130826/ENSG00000055044/ENSG00000086189/ENSG00000261236/ENSG00000113460/ENSG00000164934/ENSG00000107937/ENSG00000111845/ENSG00000088205/ENSG00000150990/ENSG00000130713/ENSG00000083520/ENSG00000160208/ENSG00000155438/ENSG00000136271/ENSG00000077348/ENSG00000178105/ENSG00000124787/ENSG00000171863/ENSG00000011260/ENSG00000029639/ENSG00000148843/ENSG00000115053/ENSG00000107371/ENSG00000101361/ENSG00000145220/ENSG00000145912/ENSG00000138382/ENSG00000170515/ENSG00000148303/ENSG00000119285/ENSG00000198000/ENSG00000166197/ENSG00000122687/ENSG00000117395/ENSG00000124228/ENSG00000148300/ENSG00000133316/ENSG00000197498/ENSG00000253729/ENSG00000125484/ENSG00000164338/ENSG00000127616/ENSG00000053372/ENSG00000107833/ENSG00000124541/ENSG00000183520/ENSG00000087269/ENSG00000165271/ENSG00000165526/ENSG00000088930/ENSG00000125630/ENSG00000131469/ENSG00000147604/ENSG00000114166/ENSG00000198042/ENSG00000182899/ENSG00000137054/ENSG00000225921/ENSG00000126749/ENSG00000188846/ENSG00000117174/ENSG00000065183/ENSG00000147889/ENSG00000071462/ENSG00000198917/ENSG00000100029/ENSG00000120800/ENSG00000105372/ENSG00000135828/ENSG00000124383/ENSG00000104626/ENSG00000055483/ENSG00000166986/ENSG00000165733/ENSG00000001497/ENSG00000101945/ENSG00000198585/ENSG00000132275/ENSG00000136045/ENSG00000278053/ENSG00000117597/ENSG00000111364/ENSG00000108651/ENSG00000151304/ENSG00000105202/ENSG00000130305/ENSG00000109534/ENSG00000115268/ENSG00000136718/ENSG00000067533/ENSG00000184967/ENSG00000147679/ENSG00000177469/ENSG00000273611/ENSG00000236320/ENSG00000115750/ENSG00000104884/ENSG00000172336/ENSG00000167721/ENSG00000130935/ENSG00000242372/ENSG00000178896/ENSG00000187531/ENSG00000141543/ENSG00000117481/ENSG00000146109/ENSG00000013573/ENSG00000084463/ENSG00000152684/ENSG00000119041/ENSG00000007376/ENSG00000171316/ENSG00000100201/ENSG00000123064/ENSG00000134987/ENSG00000114127/ENSG00000145414/ENSG00000065268/ENSG00000122085/ENSG00000129347/ENSG00000198900/ENSG00000162851/ENSG00000150773/ENSG00000113360/ENSG00000130810/ENSG00000137154/ENSG00000148308/ENSG00000205045/ENSG00000272047/ENSG00000089048/ENSG00000148688/ENSG00000160256/ENSG00000102309/ENSG00000099284/ENSG00000123737/ENSG00000135698/ENSG00000179409/ENSG00000183751/ENSG00000120158/ENSG00000119616/ENSG00000100138/ENSG00000105193/ENSG00000139637",176
"BP","GO:0006364","rRNA processing","151/6905","249/21338",0.606425702811245,1.87399154910736,9.59509165782931,3.15269588829829e-20,6.986374088469e-17,5.66600292626801e-17,"ENSG00000112578/ENSG00000114767/ENSG00000142207/ENSG00000163811/ENSG00000075914/ENSG00000120699/ENSG00000101782/ENSG00000171858/ENSG00000160214/ENSG00000135372/ENSG00000115761/ENSG00000138442/ENSG00000141076/ENSG00000156697/ENSG00000227057/ENSG00000171103/ENSG00000136942/ENSG00000124784/ENSG00000141101/ENSG00000115368/ENSG00000146223/ENSG00000111641/ENSG00000165732/ENSG00000179041/ENSG00000173113/ENSG00000130826/ENSG00000055044/ENSG00000086189/ENSG00000261236/ENSG00000113460/ENSG00000164934/ENSG00000107937/ENSG00000111845/ENSG00000088205/ENSG00000150990/ENSG00000130713/ENSG00000083520/ENSG00000160208/ENSG00000136271/ENSG00000077348/ENSG00000178105/ENSG00000124787/ENSG00000171863/ENSG00000011260/ENSG00000029639/ENSG00000148843/ENSG00000107371/ENSG00000101361/ENSG00000145220/ENSG00000145912/ENSG00000138382/ENSG00000170515/ENSG00000148303/ENSG00000119285/ENSG00000198000/ENSG00000166197/ENSG00000122687/ENSG00000117395/ENSG00000124228/ENSG00000148300/ENSG00000133316/ENSG00000197498/ENSG00000253729/ENSG00000164338/ENSG00000053372/ENSG00000107833/ENSG00000124541/ENSG00000183520/ENSG00000087269/ENSG00000165271/ENSG00000165526/ENSG00000088930/ENSG00000131469/ENSG00000147604/ENSG00000114166/ENSG00000198042/ENSG00000182899/ENSG00000225921/ENSG00000126749/ENSG00000188846/ENSG00000117174/ENSG00000065183/ENSG00000147889/ENSG00000071462/ENSG00000198917/ENSG00000100029/ENSG00000120800/ENSG00000105372/ENSG00000135828/ENSG00000124383/ENSG00000104626/ENSG00000055483/ENSG00000165733/ENSG00000001497/ENSG00000101945/ENSG00000198585/ENSG00000132275/ENSG00000136045/ENSG00000278053/ENSG00000117597/ENSG00000111364/ENSG00000108651/ENSG00000151304/ENSG00000105202/ENSG00000130305/ENSG00000109534/ENSG00000115268/ENSG00000136718/ENSG00000067533/ENSG00000184967/ENSG00000147679/ENSG00000273611/ENSG00000104884/ENSG00000172336/ENSG00000167721/ENSG00000130935/ENSG00000242372/ENSG00000178896/ENSG00000187531/ENSG00000141543/ENSG00000117481/ENSG00000146109/ENSG00000084463/ENSG00000007376/ENSG00000171316/ENSG00000100201/ENSG00000123064/ENSG00000134987/ENSG00000145414/ENSG00000065268/ENSG00000122085/ENSG00000129347/ENSG00000162851/ENSG00000150773/ENSG00000113360/ENSG00000130810/ENSG00000137154/ENSG00000272047/ENSG00000089048/ENSG00000148688/ENSG00000160256/ENSG00000102309/ENSG00000123737/ENSG00000135698/ENSG00000179409/ENSG00000183751/ENSG00000120158/ENSG00000119616/ENSG00000100138/ENSG00000105193/ENSG00000139637",151
"BP","GO:0006260","DNA replication","163/6905","311/21338",0.52411575562701,1.61963533578119,7.6137379927499,1.51020859358819e-13,2.50996668254356e-10,2.03560221483123e-10,"ENSG00000163191/ENSG00000189233/ENSG00000234602/ENSG00000123374/ENSG00000094804/ENSG00000276644/ENSG00000148229/ENSG00000159259/ENSG00000133119/ENSG00000119335/ENSG00000076003/ENSG00000112118/ENSG00000146143/ENSG00000105821/ENSG00000152193/ENSG00000106028/ENSG00000139618/ENSG00000258366/ENSG00000107937/ENSG00000107815/ENSG00000143476/ENSG00000106628/ENSG00000140534/ENSG00000136518/ENSG00000065328/ENSG00000149554/ENSG00000101868/ENSG00000136982/ENSG00000109917/ENSG00000102221/ENSG00000104889/ENSG00000181938/ENSG00000138376/ENSG00000171865/ENSG00000165891/ENSG00000150594/ENSG00000135829/ENSG00000070501/ENSG00000253729/ENSG00000093009/ENSG00000164045/ENSG00000091651/ENSG00000159147/ENSG00000127586/ENSG00000160957/ENSG00000168496/ENSG00000112249/ENSG00000101003/ENSG00000147536/ENSG00000170312/ENSG00000125821/ENSG00000173145/ENSG00000149136/ENSG00000160949/ENSG00000012048/ENSG00000174371/ENSG00000175792/ENSG00000168411/ENSG00000161692/ENSG00000014138/ENSG00000132646/ENSG00000187109/ENSG00000111328/ENSG00000109079/ENSG00000178971/ENSG00000184428/ENSG00000075131/ENSG00000096070/ENSG00000100325/ENSG00000175054/ENSG00000166508/ENSG00000189057/ENSG00000073111/ENSG00000167325/ENSG00000111602/ENSG00000198554/ENSG00000145386/ENSG00000104738/ENSG00000142453/ENSG00000138303/ENSG00000146263/ENSG00000116161/ENSG00000104320/ENSG00000163918/ENSG00000167513/ENSG00000131153/ENSG00000139567/ENSG00000164815/ENSG00000105447/ENSG00000167670/ENSG00000097046/ENSG00000112029/ENSG00000006634/ENSG00000183763/ENSG00000204371/ENSG00000105173/ENSG00000125885/ENSG00000124882/ENSG00000067369/ENSG00000124762/ENSG00000121988/ENSG00000100479/ENSG00000183207/ENSG00000197299/ENSG00000085840/ENSG00000005156/ENSG00000175305/ENSG00000138346/ENSG00000175482/ENSG00000106399/ENSG00000166803/ENSG00000171320/ENSG00000101442/ENSG00000004700/ENSG00000125482/ENSG00000166483/ENSG00000108469/ENSG00000013573/ENSG00000103423/ENSG00000049541/ENSG00000154920/ENSG00000129173/ENSG00000198056/ENSG00000117318/ENSG00000092201/ENSG00000188827/ENSG00000105486/ENSG00000065268/ENSG00000113522/ENSG00000182156/ENSG00000132780/ENSG00000051180/ENSG00000111732/ENSG00000198900/ENSG00000163875/ENSG00000125871/ENSG00000020922/ENSG00000111445/ENSG00000146648/ENSG00000170364/ENSG00000167900/ENSG00000104472/ENSG00000135336/ENSG00000011451/ENSG00000124535/ENSG00000062822/ENSG00000051341/ENSG00000116750/ENSG00000170322/ENSG00000161036/ENSG00000113916/ENSG00000167136/ENSG00000197771/ENSG00000005007/ENSG00000163781/ENSG00000128951/ENSG00000176208/ENSG00000115942/ENSG00000153147/ENSG00000100297/ENSG00000102054/ENSG00000169592/ENSG00000085224",163
"BP","GO:0006261","DNA-templated DNA replication","102/6905","174/21338",0.586206896551724,1.81151089914854,7.43430405057185,8.13600116083158e-13,1.08176271434417e-09,8.77317851490092e-10,"ENSG00000189233/ENSG00000234602/ENSG00000123374/ENSG00000094804/ENSG00000276644/ENSG00000148229/ENSG00000133119/ENSG00000076003/ENSG00000112118/ENSG00000146143/ENSG00000106028/ENSG00000139618/ENSG00000258366/ENSG00000107815/ENSG00000106628/ENSG00000140534/ENSG00000065328/ENSG00000101868/ENSG00000109917/ENSG00000138376/ENSG00000165891/ENSG00000070501/ENSG00000253729/ENSG00000093009/ENSG00000091651/ENSG00000159147/ENSG00000168496/ENSG00000101003/ENSG00000147536/ENSG00000170312/ENSG00000173145/ENSG00000160949/ENSG00000012048/ENSG00000174371/ENSG00000168411/ENSG00000161692/ENSG00000014138/ENSG00000132646/ENSG00000111328/ENSG00000075131/ENSG00000175054/ENSG00000166508/ENSG00000073111/ENSG00000167325/ENSG00000111602/ENSG00000198554/ENSG00000104738/ENSG00000142453/ENSG00000146263/ENSG00000104320/ENSG00000163918/ENSG00000167513/ENSG00000164815/ENSG00000097046/ENSG00000112029/ENSG00000006634/ENSG00000183763/ENSG00000105173/ENSG00000125885/ENSG00000067369/ENSG00000121988/ENSG00000100479/ENSG00000197299/ENSG00000085840/ENSG00000005156/ENSG00000175305/ENSG00000138346/ENSG00000175482/ENSG00000004700/ENSG00000108469/ENSG00000013573/ENSG00000103423/ENSG00000049541/ENSG00000154920/ENSG00000129173/ENSG00000198056/ENSG00000105486/ENSG00000065268/ENSG00000113522/ENSG00000051180/ENSG00000111732/ENSG00000125871/ENSG00000020922/ENSG00000111445/ENSG00000170364/ENSG00000167900/ENSG00000104472/ENSG00000135336/ENSG00000011451/ENSG00000124535/ENSG00000062822/ENSG00000051341/ENSG00000161036/ENSG00000113916/ENSG00000167136/ENSG00000197771/ENSG00000005007/ENSG00000163781/ENSG00000176208/ENSG00000115942/ENSG00000100297/ENSG00000085224",102
"BP","GO:0006403","RNA localization","122/6905","225/21338",0.542222222222222,1.67558838200982,7.04642237372615,8.85675552361446e-12,9.81328512016482e-09,7.95864943718479e-09,"ENSG00000095319/ENSG00000136231/ENSG00000037897/ENSG00000151746/ENSG00000146731/ENSG00000124571/ENSG00000101146/ENSG00000138385/ENSG00000139496/ENSG00000120253/ENSG00000135387/ENSG00000132341/ENSG00000115484/ENSG00000163468/ENSG00000184575/ENSG00000130826/ENSG00000055044/ENSG00000135486/ENSG00000112081/ENSG00000128311/ENSG00000145912/ENSG00000114503/ENSG00000135624/ENSG00000088247/ENSG00000135829/ENSG00000156261/ENSG00000111196/ENSG00000181588/ENSG00000175216/ENSG00000150753/ENSG00000113569/ENSG00000152804/ENSG00000120533/ENSG00000102898/ENSG00000166226/ENSG00000124214/ENSG00000125450/ENSG00000110713/ENSG00000102900/ENSG00000155561/ENSG00000165271/ENSG00000183684/ENSG00000173726/ENSG00000175792/ENSG00000075188/ENSG00000153187/ENSG00000132661/ENSG00000121774/ENSG00000123136/ENSG00000163634/ENSG00000139675/ENSG00000168872/ENSG00000175054/ENSG00000117174/ENSG00000122566/ENSG00000204764/ENSG00000126226/ENSG00000169062/ENSG00000101161/ENSG00000138035/ENSG00000163950/ENSG00000136937/ENSG00000168280/ENSG00000030066/ENSG00000127922/ENSG00000163002/ENSG00000272391/ENSG00000108424/ENSG00000115875/ENSG00000111605/ENSG00000111581/ENSG00000213024/ENSG00000105202/ENSG00000051596/ENSG00000136450/ENSG00000183207/ENSG00000125351/ENSG00000120438/ENSG00000149577/ENSG00000126883/ENSG00000183486/ENSG00000082898/ENSG00000196313/ENSG00000136243/ENSG00000116698/ENSG00000069248/ENSG00000138750/ENSG00000141543/ENSG00000037474/ENSG00000107164/ENSG00000074356/ENSG00000125676/ENSG00000173744/ENSG00000147400/ENSG00000047410/ENSG00000153201/ENSG00000145414/ENSG00000085415/ENSG00000185122/ENSG00000112110/ENSG00000124789/ENSG00000114416/ENSG00000131652/ENSG00000132182/ENSG00000013364/ENSG00000162385/ENSG00000174953/ENSG00000058804/ENSG00000163166/ENSG00000060237/ENSG00000157020/ENSG00000160679/ENSG00000185650/ENSG00000204842/ENSG00000164902/ENSG00000091542/ENSG00000265241/ENSG00000153207/ENSG00000140694/ENSG00000005007/ENSG00000072858/ENSG00000138095",122
"BP","GO:0140014","mitotic nuclear division","155/6905","313/21338",0.495207667731629,1.53030285504091,6.53729895612184,1.7377602441936e-10,1.52865630094154e-07,1.23975197501783e-07,"ENSG00000115008/ENSG00000079335/ENSG00000125538/ENSG00000176170/ENSG00000083535/ENSG00000145919/ENSG00000011426/ENSG00000204899/ENSG00000113721/ENSG00000040275/ENSG00000276043/ENSG00000071539/ENSG00000132341/ENSG00000156831/ENSG00000110104/ENSG00000108106/ENSG00000179041/ENSG00000072864/ENSG00000164109/ENSG00000149554/ENSG00000127564/ENSG00000196510/ENSG00000103275/ENSG00000172167/ENSG00000082641/ENSG00000136824/ENSG00000100311/ENSG00000101144/ENSG00000118193/ENSG00000175063/ENSG00000255112/ENSG00000044090/ENSG00000101057/ENSG00000161800/ENSG00000088325/ENSG00000142945/ENSG00000180198/ENSG00000152253/ENSG00000010244/ENSG00000119541/ENSG00000165480/ENSG00000170312/ENSG00000131462/ENSG00000156970/ENSG00000087586/ENSG00000114166/ENSG00000146918/ENSG00000089685/ENSG00000175662/ENSG00000149503/ENSG00000102384/ENSG00000144635/ENSG00000139687/ENSG00000153187/ENSG00000099901/ENSG00000151491/ENSG00000237649/ENSG00000086827/ENSG00000116670/ENSG00000185721/ENSG00000151503/ENSG00000136122/ENSG00000178188/ENSG00000130724/ENSG00000121621/ENSG00000143228/ENSG00000100462/ENSG00000169679/ENSG00000134057/ENSG00000186185/ENSG00000002822/ENSG00000123219/ENSG00000198901/ENSG00000124205/ENSG00000101367/ENSG00000126787/ENSG00000161888/ENSG00000134222/ENSG00000167513/ENSG00000103056/ENSG00000108424/ENSG00000010292/ENSG00000109805/ENSG00000213024/ENSG00000090889/ENSG00000121152/ENSG00000137807/ENSG00000112029/ENSG00000130177/ENSG00000124882/ENSG00000174442/ENSG00000134690/ENSG00000184661/ENSG00000183765/ENSG00000090273/ENSG00000107949/ENSG00000138182/ENSG00000117399/ENSG00000148773/ENSG00000138778/ENSG00000128944/ENSG00000117650/ENSG00000159069/ENSG00000072501/ENSG00000060069/ENSG00000166851/ENSG00000112742/ENSG00000154429/ENSG00000176108/ENSG00000137804/ENSG00000154839/ENSG00000171105/ENSG00000154473/ENSG00000182628/ENSG00000117724/ENSG00000137812/ENSG00000163808/ENSG00000009954/ENSG00000175334/ENSG00000080986/ENSG00000076382/ENSG00000138160/ENSG00000158402/ENSG00000047410/ENSG00000135476/ENSG00000134982/ENSG00000102760/ENSG00000112941/ENSG00000114391/ENSG00000085415/ENSG00000163611/ENSG00000254093/ENSG00000177602/ENSG00000241360/ENSG00000175470/ENSG00000070831/ENSG00000122952/ENSG00000198824/ENSG00000175203/ENSG00000163235/ENSG00000125378/ENSG00000113810/ENSG00000083937/ENSG00000176915/ENSG00000186298/ENSG00000120129/ENSG00000196924/ENSG00000118007/ENSG00000111913/ENSG00000136861/ENSG00000178999/ENSG00000105127/ENSG00000130695/ENSG00000086065/ENSG00000153147",155
"BP","GO:0044786","cell cycle DNA replication","36/6905","46/21338",0.782608695652174,2.41843654566634,6.66117454193305,2.04837710420162e-10,1.52865630094154e-07,1.23975197501783e-07,"ENSG00000189233/ENSG00000276644/ENSG00000076003/ENSG00000112118/ENSG00000139618/ENSG00000258366/ENSG00000101868/ENSG00000109917/ENSG00000165891/ENSG00000093009/ENSG00000159147/ENSG00000168496/ENSG00000101003/ENSG00000170312/ENSG00000161692/ENSG00000132646/ENSG00000075131/ENSG00000073111/ENSG00000104738/ENSG00000167513/ENSG00000097046/ENSG00000112029/ENSG00000006634/ENSG00000197299/ENSG00000138346/ENSG00000108469/ENSG00000129173/ENSG00000105486/ENSG00000051180/ENSG00000111732/ENSG00000167900/ENSG00000011451/ENSG00000113916/ENSG00000005007/ENSG00000176208/ENSG00000085224",36
"BP","GO:0061448","connective tissue development","158/6905","321/21338",0.49221183800623,1.5210450687005,6.50597901781989,2.06948055181617e-10,1.52865630094154e-07,1.23975197501783e-07,"ENSG00000060718/ENSG00000137573/ENSG00000151388/ENSG00000108821/ENSG00000120708/ENSG00000159167/ENSG00000160801/ENSG00000105664/ENSG00000116132/ENSG00000174705/ENSG00000114251/ENSG00000168542/ENSG00000137745/ENSG00000075239/ENSG00000075391/ENSG00000104415/ENSG00000159216/ENSG00000134013/ENSG00000132031/ENSG00000120149/ENSG00000130635/ENSG00000054938/ENSG00000214706/ENSG00000124216/ENSG00000160712/ENSG00000149257/ENSG00000113721/ENSG00000182492/ENSG00000068001/ENSG00000138669/ENSG00000026508/ENSG00000105855/ENSG00000125398/ENSG00000188064/ENSG00000155850/ENSG00000156427/ENSG00000177464/ENSG00000113083/ENSG00000168036/ENSG00000166396/ENSG00000006747/ENSG00000128652/ENSG00000125845/ENSG00000112175/ENSG00000169762/ENSG00000143387/ENSG00000116833/ENSG00000197921/ENSG00000083782/ENSG00000184937/ENSG00000100311/ENSG00000101144/ENSG00000134532/ENSG00000101665/ENSG00000109819/ENSG00000170962/ENSG00000139329/ENSG00000148400/ENSG00000136378/ENSG00000186792/ENSG00000143869/ENSG00000102265/ENSG00000112033/ENSG00000147408/ENSG00000102882/ENSG00000134240/ENSG00000044012/ENSG00000139687/ENSG00000118263/ENSG00000176485/ENSG00000115738/ENSG00000147655/ENSG00000085741/ENSG00000170315/ENSG00000133424/ENSG00000153162/ENSG00000106799/ENSG00000131873/ENSG00000162998/ENSG00000168646/ENSG00000138381/ENSG00000103056/ENSG00000139567/ENSG00000062282/ENSG00000113196/ENSG00000084676/ENSG00000221818/ENSG00000012504/ENSG00000151348/ENSG00000108773/ENSG00000090863/ENSG00000112964/ENSG00000168792/ENSG00000143369/ENSG00000152785/ENSG00000003402/ENSG00000136110/ENSG00000179295/ENSG00000173614/ENSG00000196739/ENSG00000198087/ENSG00000130529/ENSG00000196562/ENSG00000111199/ENSG00000169884/ENSG00000166949/ENSG00000150347/ENSG00000110693/ENSG00000177398/ENSG00000251493/ENSG00000178882/ENSG00000137642/ENSG00000157212/ENSG00000100644/ENSG00000005513/ENSG00000112293/ENSG00000116985/ENSG00000134245/ENSG00000104331/ENSG00000114739/ENSG00000178573/ENSG00000113658/ENSG00000165915/ENSG00000164087/ENSG00000196843/ENSG00000092969/ENSG00000109705/ENSG00000166923/ENSG00000213145/ENSG00000172819/ENSG00000125965/ENSG00000109906/ENSG00000184371/ENSG00000134323/ENSG00000147689/ENSG00000176692/ENSG00000107796/ENSG00000125378/ENSG00000174697/ENSG00000112116/ENSG00000124813/ENSG00000148516/ENSG00000259207/ENSG00000184675/ENSG00000172071/ENSG00000132170/ENSG00000112062/ENSG00000175445/ENSG00000102678/ENSG00000043039/ENSG00000119042/ENSG00000077092/ENSG00000163132/ENSG00000005073/ENSG00000106809/ENSG00000165804/ENSG00000204248/ENSG00000164040",158
"BP","GO:1905818","regulation of chromosome separation","53/6905","79/21338",0.670886075949367,2.07318857184759,6.60980098153178,2.55799394598594e-10,1.70055437529145e-07,1.37916263066737e-07,"ENSG00000181085/ENSG00000040275/ENSG00000071539/ENSG00000156831/ENSG00000164109/ENSG00000196510/ENSG00000136824/ENSG00000175063/ENSG00000070770/ENSG00000152253/ENSG00000010244/ENSG00000165480/ENSG00000156970/ENSG00000146918/ENSG00000089685/ENSG00000149503/ENSG00000144635/ENSG00000139687/ENSG00000086827/ENSG00000116670/ENSG00000151503/ENSG00000143228/ENSG00000169679/ENSG00000134057/ENSG00000002822/ENSG00000126787/ENSG00000161888/ENSG00000010292/ENSG00000109805/ENSG00000121152/ENSG00000112029/ENSG00000130177/ENSG00000174442/ENSG00000134690/ENSG00000117399/ENSG00000166851/ENSG00000112742/ENSG00000154839/ENSG00000154473/ENSG00000117724/ENSG00000137812/ENSG00000080986/ENSG00000047410/ENSG00000135476/ENSG00000134982/ENSG00000072609/ENSG00000177602/ENSG00000122952/ENSG00000113810/ENSG00000120129/ENSG00000101266/ENSG00000136861/ENSG00000178999",53
